# ecut,   Bind_x,   Bind_y,   Bind_z,    Bext,    sigma_x(ppm),   sigma_y,   sigma_z
10 2.70942e-07 -2.99976e-22 0 0.00698132 0.0259704 -2.87534e-17 0
10 2.70942e-07 -2.02065e-22 0 0.00698132 0.0259704 -1.93685e-17 0
10 2.70942e-07 -2.08184e-21 0 0.00698132 0.0259704 -1.99549e-16 0
10 2.70942e-07 -2.21847e-21 0 0.00698132 0.0259704 -2.12645e-16 0
10 2.70942e-07 -3.68035e-23 0 0.00698132 0.0259704 -3.52771e-18 0
15 7.78449e-08 -1.90706e-21 0 0.00698132 0.00746162 -1.82797e-16 0
15 7.78449e-08 -2.83151e-21 0 0.00698132 0.00746162 -2.71407e-16 0
15 7.78449e-08 -2.22398e-21 0 0.00698132 0.00746162 -2.13174e-16 0
15 7.78449e-08 -3.10797e-21 0 0.00698132 0.00746162 -2.97906e-16 0
15 7.78449e-08 -2.87757e-21 0 0.00698132 0.00746162 -2.75822e-16 0
20 -4.63694e-08 1.29665e-20 0 0.00698132 -0.00444462 1.24287e-15 0
20 -4.63694e-08 2.24448e-21 0 0.00698132 -0.00444462 2.15139e-16 0
20 -4.63694e-08 3.19576e-21 0 0.00698132 -0.00444462 3.06321e-16 0
20 -4.63694e-08 3.4671e-21 0 0.00698132 -0.00444462 3.3233e-16 0
20 -4.63694e-08 3.55091e-21 0 0.00698132 -0.00444462 3.40363e-16 0
25 2.69067e-08 -4.14699e-18 0 0.00698132 0.00257907 -3.97499e-13 0
25 2.69067e-08 7.99262e-23 0 0.00698132 0.00257907 7.66112e-18 0
25 2.69067e-08 -1.19915e-21 0 0.00698132 0.00257907 -1.14942e-16 0
25 2.69067e-08 -1.05752e-21 0 0.00698132 0.00257907 -1.01366e-16 0
25 2.69067e-08 -3.48003e-22 0 0.00698132 0.00257907 -3.3357e-17 0
30 2.69067e-08 -2.71434e-16 0 0.00698132 0.00257907 -2.60176e-11 0
30 2.69067e-08 -5.20765e-22 0 0.00698132 0.00257907 -4.99166e-17 0
30 2.69067e-08 -6.49375e-22 0 0.00698132 0.00257907 -6.22442e-17 0
30 2.69067e-08 -4.33359e-22 0 0.00698132 0.00257907 -4.15385e-17 0
30 2.69067e-08 -2.87429e-22 0 0.00698132 0.00257907 -2.75508e-17 0
35 2.29957e-08 3.21194e-15 0 0.00698132 0.00220419 3.07872e-10 0
35 2.29959e-08 4.6691e-22 0 0.00698132 0.00220421 4.47544e-17 0
35 2.29959e-08 -3.34139e-21 0 0.00698132 0.00220421 -3.20281e-16 0
35 2.29959e-08 -3.19878e-21 0 0.00698132 0.00220421 -3.06611e-16 0
35 2.29959e-08 -3.85593e-21 0 0.00698132 0.00220421 -3.696e-16 0
40 2.76734e-08 5.30721e-14 0 0.00698132 0.00265256 5.08709e-09 0
40 2.76751e-08 1.3504e-19 0 0.00698132 0.00265273 1.29439e-14 0
40 2.76751e-08 -1.82647e-21 0 0.00698132 0.00265273 -1.75072e-16 0
40 2.76751e-08 -8.90014e-22 0 0.00698132 0.00265273 -8.531e-17 0
40 2.76751e-08 -7.57237e-22 0 0.00698132 0.00265273 -7.2583e-17 0
45 3.26364e-08 2.59009e-13 0 0.00698132 0.00312828 2.48266e-08 0
45 3.2644e-08 2.44285e-18 0 0.00698132 0.003129 2.34154e-13 0
45 3.2644e-08 1.19324e-20 0 0.00698132 0.003129 1.14375e-15 0
45 3.2644e-08 8.40186e-21 0 0.00698132 0.003129 8.05339e-16 0
45 3.2644e-08 1.04579e-20 0 0.00698132 0.003129 1.00242e-15 0
50 3.08696e-08 7.38353e-14 0 0.00698132 0.00295892 7.07729e-09 0
50 3.089e-08 -2.63504e-17 0 0.00698132 0.00296088 -2.52575e-12 0
50 3.089e-08 -8.31661e-21 0 0.00698132 0.00296088 -7.97167e-16 0
50 3.089e-08 -5.99964e-21 0 0.00698132 0.00296088 -5.7508e-16 0
50 3.089e-08 -6.27556e-21 0 0.00698132 0.00296088 -6.01528e-16 0
55 2.12491e-08 -1.96158e-13 0 0.00698132 0.00203678 -1.88022e-08 0
55 2.12955e-08 1.56413e-16 0 0.00698132 0.00204123 1.49926e-11 0
55 2.12955e-08 2.74659e-20 0 0.00698132 0.00204123 2.63267e-15 0
55 2.12955e-08 1.03831e-20 0 0.00698132 0.00204123 9.95241e-16 0
55 2.12955e-08 1.17168e-20 0 0.00698132 0.00204123 1.12308e-15 0
60 2.35509e-08 -5.37638e-12 0 0.00698132 0.00225741 -5.15339e-07 0
60 2.36735e-08 -7.00787e-16 0 0.00698132 0.00226916 -6.71721e-11 0
60 2.36735e-08 1.09448e-19 0 0.00698132 0.00226916 1.04908e-14 0
60 2.36735e-08 2.2125e-19 0 0.00698132 0.00226916 2.12073e-14 0
60 2.36735e-08 2.21006e-19 0 0.00698132 0.00226916 2.1184e-14 0
65 2.34179e-08 -1.28941e-11 0 0.00698132 0.00224466 -1.23593e-06 0
65 2.36734e-08 -3.10933e-15 0 0.00698132 0.00226916 -2.98037e-10 0
65 2.36735e-08 -7.78926e-19 0 0.00698132 0.00226916 -7.4662e-14 0
65 2.36735e-08 2.1976e-19 0 0.00698132 0.00226916 2.10646e-14 0
65 2.36735e-08 2.21169e-19 0 0.00698132 0.00226916 2.11996e-14 0
70 2.84794e-08 -8.76752e-11 0 0.00698132 0.00272982 -8.40388e-06 0
70 2.91997e-08 -1.32651e-14 0 0.00698132 0.00279886 -1.27149e-09 0
70 2.92e-08 -1.76444e-18 0 0.00698132 0.00279889 -1.69126e-13 0
70 2.92e-08 -4.63965e-20 0 0.00698132 0.00279889 -4.44722e-15 0
70 2.92e-08 -4.63219e-20 0 0.00698132 0.00279889 -4.44007e-15 0
75 2.80164e-08 -1.72338e-10 0 0.00698132 0.00268544 -1.6519e-05 0
75 2.91991e-08 -4.61991e-14 0 0.00698132 0.0027988 -4.42829e-09 0
75 2.92e-08 -1.11785e-17 0 0.00698132 0.00279889 -1.07148e-12 0
